periodo,cole_mcpio_ubicacion,estrato_num,edu_madre_num,edu_padre_num,indice_activos,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,es_privado,es_urbano,cole_bilingue,genero_num,punt_matematicas,punt_lectura_critica,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global,bajo_rendimiento,desemp_ingles
20211,MANIZALES,2,4.0,,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,54.0,45.0,46.0,45.0,51.0,239.0,0,A1
20211,MANIZALES,4,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,55.0,68.0,45.0,59.0,81.0,293.0,0,B+
20211,VILLAMARÍA,4,9.0,8.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,65.0,66.0,59.0,57.0,84.0,317.0,0,B+
20211,MANIZALES,6,8.0,,4.0,1.0,1.0,1.0,1.0,1,1,1.0,0.0,73.0,69.0,62.0,74.0,88.0,355.0,0,B+
20211,MANIZALES,3,8.0,3.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,0.0,39.0,43.0,46.0,45.0,48.0,218.0,1,A1
20211,MANIZALES,4,9.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,67.0,64.0,68.0,75.0,84.0,348.0,0,B+
20211,MANIZALES,4,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,63.0,57.0,60.0,62.0,70.0,306.0,0,B1
20211,MANIZALES,6,9.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,56.0,64.0,47.0,61.0,71.0,290.0,0,B1
20211,MANIZALES,6,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,72.0,64.0,69.0,69.0,100.0,355.0,0,B+
20211,MANIZALES,6,9.0,7.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,58.0,52.0,54.0,54.0,73.0,280.0,0,B1
20211,MANIZALES,5,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,67.0,75.0,73.0,73.0,79.0,363.0,0,B+
20211,MANIZALES,6,9.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,100.0,74.0,77.0,73.0,83.0,406.0,0,B+
20211,MANIZALES,3,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,45.0,41.0,40.0,37.0,26.0,198.0,1,A-
20211,VILLAMARÍA,6,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,78.0,66.0,72.0,76.0,85.0,370.0,0,B+
20211,MANIZALES,2,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,60.0,58.0,55.0,56.0,55.0,285.0,0,A1
20211,MANIZALES,6,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,62.0,70.0,65.0,62.0,76.0,328.0,0,B1
20211,VILLAMARÍA,6,9.0,9.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,58.0,58.0,58.0,50.0,86.0,292.0,0,B+
20211,MANIZALES,3,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,42.0,44.0,44.0,45.0,40.0,217.0,1,A-
20211,MANIZALES,5,9.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,75.0,68.0,72.0,72.0,100.0,370.0,0,B+
20211,VILLAMARÍA,4,8.0,3.0,4.0,1.0,1.0,1.0,1.0,1,0,,1.0,61.0,69.0,50.0,63.0,68.0,307.0,0,B1
20211,VILLAMARÍA,6,9.0,9.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,64.0,67.0,60.0,58.0,77.0,317.0,0,B1
20211,VILLAMARÍA,5,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,65.0,57.0,60.0,59.0,100.0,317.0,0,B+
20211,MANIZALES,4,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,,1.0,52.0,65.0,55.0,47.0,79.0,283.0,0,B+
20211,MANIZALES,6,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,1.0,0.0,68.0,66.0,66.0,70.0,86.0,345.0,0,B+
20211,MANIZALES,6,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,82.0,72.0,76.0,80.0,89.0,392.0,0,B+
20211,MANIZALES,6,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,77.0,75.0,77.0,73.0,80.0,379.0,0,B+
20211,VILLAMARÍA,3,6.0,4.0,4.0,1.0,1.0,1.0,1.0,1,0,,0.0,48.0,55.0,48.0,46.0,81.0,258.0,0,B+
20211,VILLAMARÍA,6,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,80.0,67.0,74.0,72.0,78.0,368.0,0,B1
20211,MANIZALES,6,8.0,3.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,67.0,61.0,63.0,62.0,82.0,323.0,0,B+
20211,VILLAMARÍA,6,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,0,,1.0,69.0,70.0,68.0,68.0,85.0,350.0,0,B+
20211,VILLAMARÍA,5,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,66.0,66.0,55.0,58.0,76.0,312.0,0,B1
20211,MANIZALES,2,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,0.0,48.0,54.0,43.0,55.0,39.0,246.0,0,A-
20211,VILLAMARÍA,6,8.0,8.0,1.0,,1.0,,,1,0,1.0,1.0,75.0,75.0,50.0,58.0,100.0,336.0,0,B+
20211,MANIZALES,4,8.0,9.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,70.0,62.0,65.0,63.0,75.0,329.0,0,B1
20211,MANIZALES,4,9.0,6.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,74.0,66.0,61.0,70.0,76.0,342.0,0,B1
20211,MANIZALES,4,8.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,66.0,65.0,58.0,59.0,78.0,316.0,0,B1
20211,VILLAMARÍA,6,8.0,8.0,3.0,1.0,1.0,0.0,1.0,1,0,1.0,0.0,65.0,61.0,53.0,55.0,83.0,302.0,0,B+
20211,VILLAMARÍA,4,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,73.0,55.0,54.0,61.0,81.0,312.0,0,B+
20211,VILLAMARÍA,5,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1,0,,0.0,57.0,68.0,61.0,67.0,87.0,325.0,0,B+
20211,VILLAMARÍA,6,9.0,9.0,4.0,1.0,1.0,1.0,1.0,1,0,,1.0,60.0,60.0,64.0,67.0,67.0,315.0,0,A2
20211,MANIZALES,6,9.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,58.0,67.0,56.0,60.0,78.0,308.0,0,B1
20211,MANIZALES,1,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,45.0,54.0,48.0,49.0,28.0,237.0,0,A-
