"periodo","cole_mcpio_ubicacion","cole_depto_ubicacion","punt_matematicas","punt_lectura_critica","punt_global","fami_estratovivienda","fami_educacionmadre","fami_educacionpadre","fami_personashogar","fami_cuartoshogar","fami_tienecomputador","fami_tieneinternet","fami_tieneautomovil","fami_tienelavadora","punt_c_naturales","punt_sociales_ciudadanas","punt_ingles","cole_naturaleza","cole_area_ubicacion","cole_bilingue","estu_genero","desemp_ingles"
"20224","LA DORADA","CALDAS","72.0","67","331","","","","3 a 4","Uno","Si","","No","Si","66","59","68.0","OFICIAL","URBANO","N","M","B1"
"20224","MANIZALES","CALDAS","50.0","55","254","Estrato 1","Primaria incompleta","Primaria incompleta","5 a 6","Cuatro","Si","Si","No","Si","53","48","43.0","OFICIAL","RURAL","N","F","A-"
"20224","SAMANÁ","CALDAS","46.0","50","240","Estrato 1","Primaria incompleta","Primaria incompleta","5 a 6","Tres","No","No","No","No","49","48","44.0","OFICIAL","RURAL","N","F","A-"
"20224","RIOSUCIO","CALDAS","38.0","44","203","Estrato 2","Primaria incompleta","No sabe","3 a 4","Cuatro","No","No","No","Si","40","43","33.0","OFICIAL","RURAL","N","M","A-"
"20224","MANIZALES","CALDAS","65.0","69","328","","","","1 a 2","Dos","Si","","Si","Si","63","61","78.0","NO OFICIAL","URBANO","N","M","B1"
"20224","MANIZALES","CALDAS","51.0","42","226","Estrato 3","Secundaria (Bachillerato) incompleta","Ninguno","1 a 2","Dos","No","Si","No","Si","46","39","54.0","NO OFICIAL","URBANO","","M","A1"
"20224","SUPÍA","CALDAS","30.0","34","161","","","","3 a 4","Uno","Si","","No","No","29","35","34.0","OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","68.0","67","321","Estrato 6","Secundaria (Bachillerato) completa","No sabe","3 a 4","Tres","No","Si","No","Si","60","60","70.0","NO OFICIAL","URBANO","N","M","B1"
"20224","CHINCHINÁ","CALDAS","54.0","49","265","Estrato 6","Educación profesional completa","Educación profesional completa","5 a 6","Tres","Si","Si","Si","Si","54","49","70.0","NO OFICIAL","URBANO","","F","B1"
"20224","LA DORADA","CALDAS","38.0","35","190","Estrato 2","Educación profesional completa","Secundaria (Bachillerato) completa","3 a 4","Uno","Si","Si","No","No","45","36","33.0","OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","52.0","58","271","Estrato 2","Secundaria (Bachillerato) completa","No sabe","3 a 4","Tres","No","Si","No","Si","55","56","42.0","NO OFICIAL","URBANO","","F","A-"
"20224","MANIZALES","CALDAS","51.0","50","225","","","","5 a 6","Dos","No","","No","Si","41","39","41.0","NO OFICIAL","URBANO","N","M","A-"
"20224","ANSERMA","CALDAS","46.0","46","205","Estrato 2","Primaria completa","No sabe","3 a 4","Tres","No","Si","No","Si","38","34","40.0","OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","52.0","52","231","Estrato 2","Secundaria (Bachillerato) completa","No Aplica","5 a 6","Cuatro","Si","Si","No","No","46","40","31.0","NO OFICIAL","URBANO","N","M","A-"
"20224","SAMANÁ","CALDAS","40.0","40","185","Estrato 2","Primaria completa","Primaria incompleta","3 a 4","Tres","Si","No","No","No","33","36","35.0","OFICIAL","RURAL","N","M","A-"
"20224","RIOSUCIO","CALDAS","38.0","59","234","Estrato 3","Primaria incompleta","Primaria incompleta","3 a 4","Tres","Si","Si","Si","Si","44","44","54.0","OFICIAL","URBANO","N","F","A1"
"20221","MANIZALES","CALDAS","61.0","61","283","Estrato 6","Postgrado","Educación profesional completa","3 a 4","Tres","Si","Si","Si","Si","56","47","61.0","NO OFICIAL","URBANO","N","M","A2"
"20221","MANIZALES","CALDAS","53.0","63","297","Estrato 3","No sabe","No sabe","3 a 4","Tres","Si","Si","Si","Si","57","61","71.0","NO OFICIAL","URBANO","","M","B1"
"20221","VILLAMARÍA","CALDAS","76.0","78","378","Estrato 6","Postgrado","Postgrado","1 a 2","Dos","Si","Si","Si","Si","64","76","100.0","NO OFICIAL","RURAL","S","F","B+"
"20221","RIOSUCIO","CALDAS","28.0","29","151","Sin Estrato","Ninguno","Ninguno","3 a 4","Cuatro","No","No","No","Si","34","26","42.0","OFICIAL","RURAL","N","F","A-"
"20221","MANIZALES","CALDAS","23.0","46","170","Estrato 3","Secundaria (Bachillerato) incompleta","No sabe","1 a 2","Uno","No","No","No","No","40","29","29.0","NO OFICIAL","URBANO","N","F","A-"
