periodo,cole_mcpio_ubicacion,cole_depto_ubicacion,punt_matematicas,punt_lectura_critica,punt_global,fami_estratovivienda,fami_educacionmadre,fami_educacionpadre,fami_personashogar,fami_cuartoshogar,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,cole_naturaleza,cole_area_ubicacion,cole_bilingue,estu_genero,desemp_ingles
20224,MANIZALES,CALDAS,55.0,53.0,266.0,Estrato 3,Primaria incompleta,Ninguno,7,Uno,1,1,0,1,55.0,53.0,44.0,Público,URBANO,0,M,A-
20224,AGUADAS,CALDAS,58.0,53.0,260.0,Estrato 2,Ninguno,Primaria incompleta,3,Dos,0,0,0,1,44.0,58.0,37.0,Público,RURAL,0,M,A-
20224,MARQUETALIA,CALDAS,60.0,55.0,272.0,Estrato 1,Primaria incompleta,Primaria incompleta,3,Dos,0,0,0,0,54.0,49.0,53.0,Público,RURAL,,M,A1
20224,SALAMINA,CALDAS,60.0,63.0,290.0,Estrato 3,Secundaria (Bachillerato) completa,Primaria completa,3,Dos,1,1,0,1,55.0,55.0,54.0,Público,URBANO,0,M,A1
20224,MANIZALES,CALDAS,78.0,77.0,373.0,Estrato 4,Postgrado,Educación profesional completa,3,Tres,1,1,1,1,74.0,72.0,67.0,Privado,URBANO,,M,A2
20224,MARMATO,CALDAS,50.0,29.0,190.0,Estrato 2,Secundaria (Bachillerato) completa,Primaria incompleta,3,Dos,0,0,0,1,42.0,31.0,39.0,Público,RURAL,0,F,A-
20224,RISARALDA,CALDAS,27.0,34.0,160.0,Estrato 2,Primaria completa,Primaria completa,5,Cuatro,0,0,1,0,37.0,30.0,31.0,Público,RURAL,0,M,A-
20224,MANIZALES,CALDAS,47.0,57.0,219.0,Estrato 1,Secundaria (Bachillerato) completa,No sabe,3,Dos,1,1,0,1,35.0,39.0,36.0,Público,URBANO,0,M,A-
20224,AGUADAS,CALDAS,48.0,41.0,202.0,Estrato 3,Primaria completa,No sabe,3,Tres,0,1,0,1,39.0,37.0,30.0,Público,RURAL,0,M,A-
20224,CHINCHINÁ,CALDAS,61.0,62.0,304.0,Estrato 4,Educación profesional completa,Primaria completa,3,Tres,1,1,1,1,62.0,56.0,67.0,Privado,URBANO,0,M,A2
20224,MANIZALES,CALDAS,48.0,55.0,259.0,Estrato 2,Primaria incompleta,Primaria completa,2,Dos,1,1,0,1,56.0,47.0,56.0,Público,URBANO,0,F,A1
20224,SUPÍA,CALDAS,28.0,31.0,161.0,Estrato 2,Primaria completa,No sabe,2,Dos,0,0,0,0,35.0,31.0,44.0,Público,RURAL,0,F,A-
20224,SAMANÁ,CALDAS,40.0,40.0,185.0,Estrato 2,Primaria completa,Primaria incompleta,3,Tres,1,0,0,0,33.0,36.0,35.0,Público,RURAL,0,M,A-
20224,SAMANÁ,CALDAS,54.0,56.0,258.0,Estrato 1,Primaria incompleta,Primaria incompleta,3,Cuatro,1,0,0,1,47.0,50.0,50.0,Público,RURAL,,F,A1
20224,MANIZALES,CALDAS,56.0,56.0,277.0,Estrato 2,Primaria incompleta,No sabe,7,Tres,0,1,0,1,55.0,55.0,55.0,Público,URBANO,0,F,A1
20224,SALAMINA,CALDAS,32.0,38.0,172.0,Estrato 2,Secundaria (Bachillerato) completa,Primaria incompleta,3,Cuatro,1,0,0,1,40.0,28.0,33.0,Público,RURAL,0,F,A-
